Rank	Name	Region	Population in 2010
1	Quezon City	NCR	2,761,720
2	Manila	NCR	1,652,171
3	Caloocan	NCR	1,489,040
4	Davao City	Davao Region	1,449,296
5	Cebu City	Central Visayas	866,171
6	Zamboanga City	Zamboanga Peninsula	807,129
7	Antipolo	CALABARZON	677,741
8	Pasig	NCR	669,773
9	Taguig	NCR	644,473
10	Cagayan de Oro	Northern Mindanao	602,088
11	Parañaque	NCR	588,126
12	Dasmariñas	CALABARZON	575,817
13	Valenzuela	NCR	575,356
14	Las Piñas	NCR	552,573
15	General Santos	SOCCSKSARGEN	538,086
16	Makati	NCR	529,039
17	Bacoor	CALABARZON	520,216
18	Bacolod	Western Visayas	511,820
19	Muntinlupa	NCR	459,941
20	San Jose del Monte	Central Luzon	454,553
