English Name	English Short Name	Regional Center	Area in km²	Population as of 2010	Density per km²	Island Group

Cordillera Administrative Region	CAR	Baguio	18,294	1,616,867	88.4	Luzon
Ilocos Region	Region I	San Fernando, La Union	12,840	4,748,372	369.8	Luzon
Cagayan Valley	Region II	Tuguegarao	26,838	3,229,163	120.3	Luzon
Central Luzon	Region III	San Fernando, Pampanga	21,470	10,137,737	472.2	Luzon
CALABARZON	Region IV-A	Calamba, Laguna	16,229	12,609,803	777	Luzon
MIMAROPA	Region IV-B	Calapan	 27,456	2,744,671	100	Luzon
Bicol Region	Region V	Legazpi	 17,632	5,420,411	307.4	Luzon
Western Visayas	Region VI	Iloilo City	20,223	7,102,438	351.2	Visayas
Central Visayas	Region VII	Cebu City	14,951	6,800,180	454.8	Visayas
Eastern Visayas	Region VIII	Tacloban	21,432	4,101,322	191.4	Visayas
Zamboanga Peninsula	Region IX	Pagadian	14,811	3,407,353	230.1	Mindanao
Northern Mindanao	Region X	Cagayan de Oro	17,125	4,297,323	250.9	Mindanao
Davao Region	Region XI	Davao City	20,244	4,468,563	220.7	Mindanao
SOCCSKSARGEN	Region XII	Koronadal	18,433	4,109,571	222.9	Mindanao
Caraga	Region XIII	Butuan	18,847	2,429,224	128.9	Mindanao
Autonomous Region in Muslim Mindanao	ARMM	Cotabato City	12,695	3,256,140	256.5	Mindanao
